,URL,Title,Author,Avg_rating,Num_reviews,Num_ratings,Pages,Publish_year,Series,Genres,Awards,Places
949,https://www.goodreads.com/book/show/15706453-enkeling,Enkeling,Johan Leys,3.68,3,28,303,2011,,,,
950,https://www.goodreads.com/book/show/12720964-the-shore-of-monsters,The Shore of Monsters,David J. Nix,3.93,6,81,226,2011,,"['Science Fiction', '4 users', '3 users']",,
951,https://www.goodreads.com/book/show/15865349-barriers-of-the-new-world,Barriers of the New World,Barbara Rayne,3.7,4,43,204,2012,,"['Science Fiction', '6 users', '2 users']",,
952,https://www.goodreads.com/book/show/10830589-vallar,Vallar,Cindy Borgne,3.73,40,119,380,2011,Vallar #1,"['Science Fiction', 'Young Adult', 'Fantasy']",,
953,https://www.goodreads.com/book/show/22545442-the-blondes,The Blondes,Emily Schultz,3.04,544,2984,400,2012,,"['Fiction', 'Science Fiction', 'Horror']",['Sunburst Award Nominee for Adult (2013)'],"Ontario  (Canada)   New York City, New York  (United States)"
954,https://www.goodreads.com/book/show/7673244-carnal,Carnal: Somewhere Over 40 Winks,Rom LcO'Feer,3.45,16,2773,222,2009,,"['Psychology', 'Contemporary', 'Fiction']",,
955,https://www.goodreads.com/book/show/16098272-the-end-of-all-things,The End of All Things,Lissa Bryan,4.06,127,708,251,2013,The End of All Things #1,"['Science Fiction', '29 users', 'Post Apocalyptic']",,
956,https://www.goodreads.com/book/show/16207795-darkness-falls,Darkness Falls,Mathieu Gallant,3.69,11,29,253,2011,Outage #1,,,
957,https://www.goodreads.com/book/show/12603783-amongst-the-ruins,Amongst the Ruins,Saewod Tice,3.89,31,246,321,2011,The Chronicles of 2020 #1,"['Science Fiction', '22 users', '13 users']",,
958,https://www.goodreads.com/book/show/17310054-the-covert-academy,The Covert Academy (The Covert Academy #1),Peter Laurent,3.49,10,75,296,2013,,"['Science Fiction', '5 users', '4 users']",,
959,https://www.goodreads.com/book/show/13707593-the-city-of-devi,The City of Devi,Manil Suri,3.29,187,970,382,2013,The Hindu Gods #3,"['Fiction', 'Cultural', '42 users']","['Bad Sex in Fiction Award (2013)', 'Bisexual Book Awards for Fiction (2013)']",
960,https://www.goodreads.com/book/show/17618632-shadows-of-tockland,Shadows of Tockland,Jeffrey Aaron Miller,3.73,4,37,313,2013,,,,
961,https://www.goodreads.com/book/show/10762643-the-untied-kingdom,The UnTied Kingdom,Kate Johnson,3.89,97,569,403,2011,,"['Fantasy', 'Romance', 'Science Fiction']",,
962,https://www.goodreads.com/book/show/16195851-individually-wrapped,Individually Wrapped,Jeremy Bullian,3.93,4,14,188,2012,,,,
963,https://www.goodreads.com/book/show/12212910-days-like-this,Days Like This,Alison Stewart,3.73,55,284,302,2011,,"['Science Fiction', '20 users', '15 users']",['Amazon Breakthrough Novel Award (ABNA) Nominee for Young Adult  (2010)'],
964,https://www.goodreads.com/book/show/18158535-red-like-the-letter-one,Red like the Letter #one,Nix Hamilton,3.55,7,22,335,2013,Red Like the Letter #1,,,
965,https://www.goodreads.com/book/show/18074687-perry-road,"Perry Road (Revolution, #1)",Emi Gayle,3.94,14,35,,2013,,"['Young Adult', 'Science Fiction', '5 users']",,
966,https://www.goodreads.com/book/show/18050237-the-detainee,The Detainee,Peter Liney,3.69,69,406,277,2013,The Detainee Trilogy #1,"['Science Fiction', '21 users', '19 users']",,
967,https://www.goodreads.com/book/show/18856903-furtl,furtl,Strobe Witherspoon,3.53,28,90,187,2014,,"['Science Fiction', '4 users', '3 users']",,
968,https://www.goodreads.com/book/show/17724341-supercenter,Supercenter,Jason Rizos,4.21,3,14,278,2013,,,,
969,https://www.goodreads.com/book/show/20772719-dogs-of-orninica,Dogs of Orninica,Daniel Unedo,3.78,4,49,196,2014,,,,
970,https://www.goodreads.com/book/show/18921754-women-s-work,Women's Work,Kari Aguila,3.72,46,127,298,2013,Women's Work #1,"['Science Fiction', 'Science Fiction', '9 users']",,
