,Unnamed: 0,url,title,author,avg_rating,num_reviews,num_ratings,pages,publish_year,series,genres,awards,places,book_score,mean_norm,min_max_norm
526,526,https://www.goodreads.com/book/show/625605.The_Alliance,The Alliance,Gerald N. Lund,4.22,620,4195,330.0,1983,False,"['Science Fiction', 'Fiction', 'Lds']",,,476,5.926420608108108,7.628378378378377
527,527,https://www.goodreads.com/book/show/11410430-defiance,Defiance,C.J. Redwine,3.67,2609,27668,403.0,2012,True,"['Fantasy', 'Young Adult', 'Science Fiction']",,Baalboden,475,5.090271959459459,5.956081081081081
528,528,https://www.goodreads.com/book/show/13188615-breaking-point,Breaking Point,Kristen Simmons,3.99,697,10845,400.0,2013,True,"['Science Fiction', '332 users', '212 users']",,,474,5.576758445945947,6.929054054054054
529,529,https://www.goodreads.com/book/show/12287.Endgame,Endgame,Samuel Beckett,3.83,746,16271,60.0,1957,False,"['Plays', 'Drama', 'Classics']",['Obie Nominee for Best Foreign Play (1958)'],,473,5.333515202702703,6.4425675675675675
530,530,https://www.goodreads.com/book/show/15575.The_Sword_of_Shannara,The Sword of Shannara,Terry Brooks,3.76,4197,90893,726.0,1977,True,"['Fantasy', 'Fiction', 'Fantasy']",['Locus Award Nominee for Best Fantasy Novel (1978)'],,472,5.2270962837837835,6.229729729729729
531,531,https://www.goodreads.com/book/show/171125.The_Carpet_Makers,The Carpet Makers,Andreas Eschbach,4.15,517,3329,297.0,1995,False,"['Science Fiction', 'Fiction', 'Fantasy']","['Locus Award Nominee for Best SF Novel (2006)', ""Grand Prix de l'Imaginaire for Roman Étranger (2001)"", 'Premio Ignotus for Novela extranjera (2005)', 'Deutscher Science Fiction Preis for Bester Roman (1996)', 'Prix Bob Morane for roman traduit (2000)']",,472,5.82000168918919,7.415540540540541
532,532,https://www.goodreads.com/book/show/60932.Parable_of_the_Talents,Parable of the Talents,Octavia E. Butler,4.28,2610,29510,448.0,1998,True,"['Science Fiction', 'Fiction', 'Science Fiction']",['Nebula Award for Best Novel (1999)'],United States of America,469,6.017636824324326,7.810810810810812
533,533,https://www.goodreads.com/book/show/9548075-machine-of-death,Machine of Death: A Collection of Stories About People Who Know How They Will Die,Ryan North,3.94,801,6999,452.0,2010,True,"['Short Stories', 'Fiction', 'Science Fiction']",,,468,5.500744932432433,6.777027027027026
534,534,https://www.goodreads.com/book/show/47916.Obernewtyn,Obernewtyn,Isobelle Carmody,3.96,775,11314,256.0,1987,True,"['Fantasy', 'Young Adult', 'Science Fiction']",,,464,5.531150337837838,6.837837837837839
535,535,https://www.goodreads.com/book/show/15721624-orleans,Orleans,Sherri L. Smith,3.74,726,3700,324.0,2013,False,"['Young Adult', 'Science Fiction', '197 users']",['Milwaukee County Teen Book Award Nominee (2014)'],"New Orleans, Louisiana  (United States)",464,5.196690878378379,6.168918918918919
537,537,https://www.goodreads.com/book/show/18168902-when-you-were-pixels,When You Were Pixels,Julio Alexi Genao,4.11,328,874,32.0,2013,True,"['Romance', '135 users', '48 users']",,,462,5.759190878378379,7.29391891891892
